Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
28.24524,67.48804,68.41234,424.127,810.114,1.633,7.521,7.202574,185.09 yds,2.883161,1.835547,62.36615,28.17029,28.99388,I6,60.205,12.94,2.613,0,12.94,0,0,0,0,0,0,1.136323
130.595,148.5858,100.7003,3732.43,334.13,11.412,11.669,24.52405,112.84 yds,34.17516,29.50694,5.115526,130.2819,130.0241,I6,68.12601,9.023,-6.035,0,9.023,0,0,0,0,0,0,1.478148
66.51717,124.3031,101.5839,2002.705,-1071.814,2.28,2.879,5.041607,128.19 yds,4.2242,-0.5417015,-28.15494,54.92998,53.34318,I5,68.7859,9.217,-4.116,0,9.217,0,0,0,0,0,0,1.476813
90.5247,127.0252,110.2386,1404.837,-1638.03,2.894,6.868,8.865576,126.57 yds,9.933864,-6.994038,-49.38235,91.59406,92.05271,I5,72.79897,8.745,-4.28,0,8.745,0,0,0,0,0,0,1.514288
38.15543,64.16644,103.0692,778.473,-2628.892,-1.978,2.89,3.93231,188.83 yds,2.125888,-2.611351,-73.50481,28.91964,28.36395,I5,69.96701,8.744,-5.798,0,8.744,0,0,0,0,0,0,1.473112
65.40277,109.008,103.0916,1774.977,-1016.671,0.539,2,5.316482,143.72 yds,4.056917,-1.066912,-29.80321,40.41945,1.003937,I5,71.13245,8.605,-5.949,0,8.605,0,0,0,0,0,0,1.449291
30.53025,66.94034,94.22215,526.996,-1636.249,-3.756,2,3.777906,186.17 yds,1.65893,-1.470366,-72.14751,16.02783,0.9175416,I5,68.03206,6.406,-6.73,0,6.406,0,0,0,0,0,0,1.384967
61.45372,95.11459,104.5725,1718.493,-1568.505,0.528,2.262,4.463482,157.76 yds,3.748197,-1.743113,-42.38736,40.9615,39.57568,I5,69.06105,7.968,-5.563,0,7.968,0,0,0,0,0,0,1.514203
136.6869,172.5002,109.6727,1425.556,-814.928,5.285,12.046,19.00894,80.19 yds,29.23816,-3.000102,-29.75471,137.1504,141.273,H5,74.90617,6.035,-5.023,0,6.035,0,0,0,0,0,0,1.464134
138.6076,159.8493,110.9791,4105.965,-595.941,8.268,6.968,20.05571,94.2 yds,25.4216,13.13892,-8.258261,138.8675,137.4814,H5,75.60857,6.511,-5.904,0,6.511,0,0,0,0,0,0,1.467811
149.0902,184.7345,114.3747,3663.417,-31.992,3.386,7.308,20.67138,244.46 yds,28.7132,8.368162,-0.5003417,149.438,148.7926,H5,75.31106,3.84,-7.104,0,3.84,0,0,0,0,0,0,1.518698
165.4147,188.893,115.5491,3374.952,-284.519,3.495,11.013,28.16577,239.92 yds,46.62756,4.741402,-4.81882,164.4534,165.864,H5,75.37593,2.818,-3.631,0,2.818,0,0,0,0,0,0,1.532971
157.0717,191.2046,113.1825,2511.435,-848.398,2.885,11.764,24.83587,238.31 yds,40.67635,-8.73603,-18.66569,156.8128,158.4952,H5,73.95995,2.912,-3.718,0,2.912,0,0,0,0,0,0,1.530321
119.8915,157.6924,119.6159,2003.918,-1096.48,-2.371,5.301,10.00727,100.16 yds,12.00544,-17.9481,-28.68607,122.3784,122.1566,H4,79.93929,0.736,-3.784,0,0.736,0,0,0,0,0,0,1.496334
111.274,176.3758,118.5019,1770.643,-795.473,4.044,4.971,8.048608,76.12 yds,9.753235,-0.7346506,-24.19231,113.9621,114.1514,H4,78.56805,7.065,-4.494,0,7.065,0,0,0,0,0,0,1.508271
127.9926,154.8984,107.7691,2095.459,-442.988,6.822,8.699,15.95926,98.15 yds,21.28596,8.783186,-11.93679,129.2235,137.6072,H4,73.95324,8.661,-1.983,0,8.661,0,0,0,0,0,0,1.457259
70.35574,80.97158,68.61813,1880.509,-2367.519,13.415,22.802,29.19559,171.67 yds,26.68416,6.370779,-51.54005,70.09013,69.86768,H4,47.27102,10.183,7.613,0,10.183,0,0,0,0,0,0,1.45159
96.46024,123.9728,102.8769,925.014,-1947.256,3.976,12.084,15.35972,130.29 yds,18.51098,-9.614888,-64.59066,96.2083,97.71216,H4,73.62888,7.073,-4.707,0,7.073,0,0,0,0,0,0,1.397235
96.31616,123.4354,104.1765,1039.225,-2370.083,-2.554,11.835,15.62762,136.73 yds,18.34174,-21.89728,-66.32369,96.2331,97.5514,H4,74.26194,6.712,-3.808,0,6.712,0,0,0,0,0,0,1.402825
179.4282,218.3618,130.5545,2282.322,-1164.912,2.461,8.702,20.91563,214.16 yds,36.31953,-19.97454,-27.04006,179.3629,182.0866,W3,84.87398,4.99,-3.902,0,4.99,0,0,0,0,0,0,1.538216
191.8613,222.1245,127.7807,2467.274,-626.897,4.567,10.687,27.1475,206.67 yds,50.6924,-2.35149,-14.25631,190.9013,194.3318,W3,84.71291,6.81,-2.632,0,6.81,0,0,0,0,0,0,1.508397
175.4248,207.3179,122.8796,2492.296,-1169.393,6.161,11.34,26.00751,222.16 yds,46.55362,-8.037724,-25.13611,174.6082,177.2058,W3,80.74236,3.306,0,0,3.306,0,0,0,0,0,0,1.521873
202.3397,219.7656,129.87,3232.178,-168.773,6.634,11.865,34.53843,210.82 yds,69.51824,18.51769,-2.98907,199.9508,203.4678,W3,84.84267,4.709,-1.468,0,4.709,0,0,0,0,0,0,1.530716
154.4625,165.8006,106.324,3946.928,-1230.032,2.278,21.058,43.34669,263.94 yds,81.72781,-12.87972,-17.30927,152.3842,154.0179,W3,78.28172,3.808,-0.649,0,3.808,0,0,0,0,0,0,1.358222
218.9716,239.7289,138.5695,2007.748,-654.852,4.262,11.54,28.09333,16.76 yds,60.29305,-8.680015,-18.06438,217.5988,223.7216,DR,91.4036,1.919,1.868,0,1.919,0,0,0,0,0,0,1.516018
207.0625,227.1665,129.7626,2494.75,308.79,-2.011,13.083,33.40403,25.43 yds,69.59156,2.996631,7.055951,205.086,210.0777,DR,89.76392,3.983,-1.025,0,3.983,0,0,0,0,0,0,1.445599
203.5081,235.0282,136.7039,1832.5,-674.089,2.789,9.972,22.93918,24.88 yds,44.70815,-12.89232,-20.19615,203.398,208.0479,DR,91.03004,3.123,1.914,0,3.123,0,0,0,0,0,0,1.501745
211.6962,225.5891,128.3847,1874.289,-591.248,2.129,17.133,35.91697,32.54 yds,83.47459,-15.78308,-17.50798,209.4368,216.5529,DR,89.74603,5.12,2.13,0,5.12,0,0,0,0,0,0,1.430534
204.7677,235.0391,130.4673,1285.277,-579.304,5.796,15.216,26.75465,18.29 yds,60.79195,-3.092341,-24.26219,203.9128,213.0217,DR,89.42392,4.909,1.636,0,4.909,0,0,0,0,0,0,1.458975
